,,Quartz,Plagioclase,K-feldspar,Biotite,Hornblende,Clinopyroxene,Titanite,Magnetite,Anhydrite,Calcite,Siderite,Dolomite,Illite,chlorite,Muscovite,Epidote,kaolinite,Diopside,Scapolite
3050,3060,33,23,27,1,2,1,1,tr,,tr,tr,2,4,tr,,,4,,
3100,3110,6,19,30,8,2,2,tr,tr,,,6,13,5,1,,,6,,
3150,3160,7,27,33,5,2,tr,1,tr,tr,,6,6,5,2,,,3,,
3200,3210,7,31,33,4,3,2,tr,1,,tr,4,11,3,1,,,,,
3300,3310,29,34,30,2,2,tr,tr,1,,tr,,,tr,tr,,,,,
3400,3410,8,52,23,5,2,2,1,1,,tr,tr,,2,2,,,,,
3500,3510,4,48,40,2,1,tr,1,tr,,tr,,,2,tr,,,,,
3600,3610,7,52,18,4,4,2,2,1,,tr,,,3,3,,4,,,
3620,3630,58,3,29,1,,,,,,tr,,tr,2,,,,7,,
3700,3710,3,69,13,7,3,1,tr,1,,tr,,,2,,,,,,
3800,3810,2,66,10,10,5,1,2,2,,tr,,,1,,,,,,
3900,3910,8,52,31,3,2,tr,1,1,,tr,,,1,tr,,,,,
4000,4010,1,61,23,6,2,2,2,1,,tr,,,2,tr,,,,,
4100,4110,3,60,7,9,12,2,3,2,,tr,,,1,,,,,,
4150,4160,3,53,37,3,2,tr,tr,tr,,tr,,,tr,tr,,,,,
4200,4210,5,62,8,12,9,2,2,tr,,tr,,,tr,,,,,,
4300,4310,2,51,39,4,1,0,tr,tr,,tr,,,tr,tr,,,,,
4400,4410,2,48,44,3,tr,tr,1,tr,,tr,,,tr,tr,,,,,
4500,4510,3,52,40,2,tr,1,tr,tr,,tr,,,tr,tr,,,,,
4600,4610,2,49,42,2,tr,tr,tr,tr,,tr,,,1,tr,,,,,
4700,4710,36,35,25,1,tr,1,tr,tr,,tr,,,,tr,,,,,
4800,4810,3,53,36,3,1,tr,tr,tr,,tr,,,tr,tr,,,,,
4900,4910,4,49,41,1,1,2,tr,tr,,tr,,,1,,,,,,
5000,5010,4,51,40,1,tr,1,tr,tr,,tr,,,tr,tr,,,,,
5100,5110,4,65,8,7,8,3,2,2,,tr,,,2,,,,,,
5200,5210,32,38,27,tr,tr,tr,tr,tr,,tr,,,tr,,,,,,
5300,5310,11,53,31,2,2,tr,tr,tr,,tr,,,,tr,,,,,
5400,5410,11,48,38,tr,tr,tr,tr,tr,,tr,,,tr,,,,,,
5500,5510,18,44,31,2,tr,tr,tr,tr,,tr,,,2,1,,,,,
5590,5600,20,43,32,3,tr,tr,tr,tr,,tr,,,tr,tr,,,,,
5700,5710,19,42,34,2,tr,tr,tr,tr,,tr,,,1,tr,,,,,
5800,5810,18,45,33,1,tr,tr,tr,tr,,tr,,,tr,tr,,,,,
5900,5910,20,45,31,2,tr,tr,tr,tr,,tr,,,,tr,,,,,
6000,6010,22,45,27,2,tr,tr,tr,tr,,tr,,,1,,,,,,
6100,6110,16,49,31,tr,tr,tr,tr,tr,,tr,,,tr,,,,,,
6200,6210,17,48,30,1,tr,1,tr,tr,,tr,,,tr,tr,,,,,
6300,6310,19,45,31,2,tr,1,tr,tr,,tr,,,tr,tr,,,,,
6400,6410,20,45,31,tr,tr,1,tr,tr,,tr,,,tr,tr,,,,,
6500,6510,23,45,27,1,tr,1,tr,tr,,tr,,,1,tr,,,,,
6600,6610,17,46,31,3,tr,tr,tr,tr,,tr,,,tr,tr,,,,,
6700,6710,16,46,33,2,tr,tr,tr,tr,,tr,,,tr,tr,,,,,
6800,6810,14,47,34,1,tr,1,tr,tr,,tr,,,tr,tr,,,,,
6900,6910,5,50,35,1,2,tr,1,1,,tr,,,2,tr,,,,,
7000,7010,3,61,30,tr,2,tr,tr,tr,,tr,,,1,,,,,,
7100,7110,3,55,24,4,7,1,1,tr,,tr,,,2,tr,,,,,
7200,7210,4,47,5,11,25,3,3,1,,tr,,,,2,,,,,
7300,7310,8,51,17,7,5,3,2,,,1,tr,,3,3,,,,,
7400,7410,4,66,5,8,9,3,2,,,tr,,,3,1,,,,,
7500,7510,6,56,11,8,13,2,2,,,tr,,,tr,3,,,,,
7600,7610,27,34,7,5,3,2,,,,2,,,6,12,,5,,,
7700,7710,25,54,9,7,3,,tr,,,tr,,,,1,,,,,
7800,7810,12,49,6,4,25,,1,,,tr,,,tr,1,,,,,
7900,7910,27,57,3,7,3,,1,,,tr,,,tr,1,,,,,
8000,8010,20,56,1,5,13,,tr,,,tr,,,2,2,,,,,
8110,8120,8,19,3,4,4,,,,1,51,,,tr,,tr,,,9,tr
8190,8200,80,6,7,1,,1,,,,5,,,1,,,,,,
8200,8210,13,15,6,1,8,,,,1,16,,,2,,,,,24,14
8300,8310,1,0,0,1,3,,,,,81,,9,2,,,,,3,
8350,8360,4,31,12,1,3,,1,,,16,,,tr,tr,,,,20,10
8400,8410,19,21,22,7,8,,,,,9,,,2,,,,,13,
8500,8510,21,57,6,11,,,,,,tr,,,1,3,,,,,
8600,8610,9,63,4,9,11,,tr,,,tr,,,tr,2,,,,,
8700,8710,28,33,28,6,,,,,,1,,,3,2,,,,,
8830,8840,28,40,4,17,3,,,,,2,,,5,,,,,2,
8850,8860,32,33,5,20,1,,,,,1,,,2,6,,,,1,
8900,8910,33,31,17,15,,,,,,tr,,,1,3,,,,,
9000,9010,12,48,5,15,14,,1,,,tr,,,1,2,,,,,
9100,9110,22,47,6,16,1,,,,,2,,,tr,4,,,,,
9120,9130,32,42,5,15,tr,,,,,tr,,,tr,4,,,,,